source,target,video_id,channel_id,created_utc,comment_id
61c5c596bef33a48,ae601efb356406a5,BpHhN0vqP0k,UCupvZG-5ko_eiXAupbDfxWw,2026-04-14 19:19:26+00:00,UgwXx9nfmu8QOHeW0ER4AaABAg.AV_nCXwI8fFAVaQ-d6pdQy
304e1fd5396052c4,ae601efb356406a5,BpHhN0vqP0k,UCupvZG-5ko_eiXAupbDfxWw,2026-04-15 02:00:34+00:00,UgwXx9nfmu8QOHeW0ER4AaABAg.AV_nCXwI8fFAVb7uY9N2q9
1a4f45002ea4bb77,ae601efb356406a5,BpHhN0vqP0k,UCupvZG-5ko_eiXAupbDfxWw,2026-04-15 05:33:37+00:00,UgwXx9nfmu8QOHeW0ER4AaABAg.AV_nCXwI8fFAVbWI0idfEP
79c51d69fe277d22,ae601efb356406a5,BpHhN0vqP0k,UCupvZG-5ko_eiXAupbDfxWw,2026-04-16 02:19:06+00:00,UgwXx9nfmu8QOHeW0ER4AaABAg.AV_nCXwI8fFAVdjpByvcpQ
31cc86c99dce21f6,bdfa9f87889d123e,ddzF6ZQ6qC0,UCNye-wNBqNL5ZzHSJj3l8Bg,2026-03-27 11:08:21+00:00,UgwYQPNjbjyVcUiZJe54AaABAg.AUF9zkqDi0gAUrBUyukNc1
2b8c2741eef7e5f2,6e1bc5f0f4d645a0,sFAd6Szmf28,UChF5O40UBqAc82I7-i5ig6A,2026-03-30 23:58:51+00:00,UgwYuDWM9feOccqK8fJ4AaABAg.AUzvM5fHvjSAV-I2z1puIB
555cb79f497685d3,4c738c80fdd129c7,YWc8vMTkgK0,UCknLrEdhRCp1aegoMqRaCZg,2026-04-29 22:11:49+00:00,UgwZGvA_8YGTkTftogd4AaABAg.AWAivDMx6BbAWCLeHPWmkt
f803a9a3c5693762,54ed34ab1520c0b8,UiIan-aa4Hw,UCHZA_aJuGa4jEoJs6KW-_pw,2026-05-06 15:40:43+00:00,Ugw_3zTMtgaYuOT-t8B4AaABAg.AWSHS5Q_oBjAWTfSs4rVDm
c77693412192fc32,659fc967471c6a5e,BpHhN0vqP0k,UCupvZG-5ko_eiXAupbDfxWw,2026-04-16 07:52:55+00:00,Ugw_GNQ8HJOzW07HTFZ4AaABAg.AVdjLShCsX-AVeL15JDHPd
95f853b1aba14f0c,b338ccd72ed4cde6,HM_ooU-SIQs,UCeY0bbntWzzVIaj2z3QigXg,2026-04-23 22:20:31+00:00,UgwaPCqpYf4VylOaWV54AaABAg.AVtOu-JJF28AVxushTSlLt
7acfb6b109f1aa53,4c542ee5808309e3,2sbvbKlbj6Q,UCiDyg5GUMxZiHiwiQ29Nwhw,2026-04-29 13:44:42+00:00,UgwanLYaq6Myn0M3Xnx4AaABAg.AVR6cbam3IaAWBRc0WeB3K
32c15c935016433a,cf86b602b50b6020,YPIkNV9D3Hk,UC6-y2wMNk24Fi-J2qbTTYQA,2026-04-29 01:29:15+00:00,UgwatvoCvKZfPzio10t4AaABAg.AVyJ863ueuLAWA7SVyy56a
1ca5541acc2bda2e,3aa03a9f791f3b88,gGIv1ceqq6U,UChirEOpgFCupRAk5etXqPaA,2026-03-14 11:00:58+00:00,UgwbOCTuUH_XPSlC3yZ4AaABAg.AUH_BwkPkVbAUKhJZHPjVz
2c154194de67ddd7,ff9b47581b5b431e,fFUnDwqQMv4,UCeY0bbntWzzVIaj2z3QigXg,2026-03-27 12:16:16+00:00,Ugwbj3OVCYV93WTU64Z4AaABAg.AUnhldVbR3tAUrJGTZEbsp
a6123456caa240a7,52794a1022bb2a16,Jn5GzGtpcls,UCVhtkN7-c8mA8GXEoxS4YQw,2026-04-07 14:24:20+00:00,UgwdDCG-Dcw0NZ73KP54AaABAg.AVHzqBRAGBiAVIrf7gub2y
